episod,recompensa,pasi,succes,epsilon
1,28.90000000000029,282,0,0.999
2,35.00000000000027,310,0,0.998001
3,26.650000000000404,297,0,0.997002999
4,35.700000000000514,356,0,0.996005996001
5,31.500000000000583,350,0,0.995009990004999
6,31.850000000000477,313,0,0.994014980014994
7,23.50000000000034,360,0,0.993020965034979
8,29.950000000000742,471,0,0.9920279440699441
9,28.65000000000019,287,0,0.9910359161258742
10,45.500000000000384,280,0,0.9900448802097482
11,26.900000000000375,352,0,0.9890548353295385
12,40.65000000000035,347,0,0.988065780494209
13,32.40000000000029,272,0,0.9870777147137147
14,42.05000000000035,349,0,0.986090636999001
15,24.200000000000173,346,0,0.9851045463620021
16,40.80000000000052,314,0,0.98411944181564
17,47.30000000000054,274,0,0.9831353223738244
18,37.55000000000062,349,0,0.9821521870514506
19,33.90000000000046,272,0,0.9811700348643991
20,29.650000000000404,357,0,0.9801888648295347
21,31.85000000000028,193,0,0.9792086759647052
22,45.900000000000546,272,0,0.9782294672887405
23,20.750000000000625,415,0,0.9772512378214517
24,34.85000000000038,313,0,0.9762739865836303
25,33.350000000000534,283,0,0.9752977125970467
26,43.20000000000039,326,0,0.9743224148844496
27,22.90000000000036,372,0,0.9733480924695651
28,39.650000000000205,367,0,0.9723747443770956
29,35.450000000000344,271,0,0.9714023696327185
30,39.25000000000041,285,0,0.9704309672630859
31,30.200000000000287,226,0,0.9694605362958227
32,45.80000000000042,274,0,0.9684910757595269
33,114.99999999999942,420,0,0.9675225846837673
34,26.10000000000045,308,0,0.9665550620990835
35,38.65000000000036,387,0,0.9655885070369844
36,40.9000000000006,282,0,0.9646229185299474
37,33.85000000000049,393,0,0.9636582956114175
38,32.55000000000037,329,0,0.9626946373158061
39,23.450000000000358,361,0,0.9617319426784903
40,29.400000000000347,332,0,0.9607702107358118
41,103.19999999999932,536,0,0.959809440525076
42,37.35000000000025,203,0,0.9588496310845509
43,33.75000000000048,275,0,0.9578907814534664
44,113.2,516,0,0.9569328906720129
45,32.65000000000033,237,0,0.9559759577813409
46,27.200000000000387,286,0,0.9550199818235596
47,28.750000000000327,255,0,0.9540649618417361
48,29.30000000000028,244,0,0.9531108968798944
49,23.100000000000406,428,0,0.9521577859830145
50,34.55000000000028,169,0,0.9512056281970315
51,25.700000000000614,316,0,0.9502544225688344
52,29.150000000000375,277,0,0.9493041681462656
53,30.550000000000438,279,0,0.9483548639781193
54,48.0000000000004,200,0,0.9474065091141411
55,30.100000000000477,288,0,0.946459102605027
56,30.000000000000412,350,0,0.9455126435024219
57,27.30000000000024,314,0,0.9445671308589195
58,45.550000000000466,279,0,0.9436225637280606
59,46.15000000000046,237,0,0.9426789411643326
60,42.95000000000047,271,0,0.9417362622231683
61,29.150000000000446,247,0,0.9407945259609451
62,49.30000000000038,234,0,0.9398537314349842
63,42.60000000000049,248,0,0.9389138777035492
64,30.10000000000025,228,0,0.9379749638258457
65,29.100000000000463,248,0,0.9370369888620198
