episod,recompensa,pasi,succes
1,28.900000000000176,252,0
2,34.950000000000585,311,0
3,32.7000000000006,356,0
4,25.950000000000585,311,0
5,35.100000000000506,398,0
6,43.85000000000058,313,0
7,26.25000000000061,365,0
8,37.80000000000068,344,0
9,22.90000000000053,432,0
10,37.050000000000495,269,0
11,31.950000000000287,311,0
12,39.250000000000426,315,0
13,28.100000000000392,268,0
14,26.050000000000367,309,0
15,43.50000000000044,320,0
16,20.450000000000315,421,0
17,33.950000000000486,391,0
18,30.80000000000058,394,0
19,29.050000000000296,399,0
20,34.05000000000048,359,0
21,31.400000000000333,352,0
22,33.80000000000052,334,0
23,43.500000000000355,230,0
24,30.65000000000036,277,0
25,33.80000000000034,244,0
26,31.700000000000415,316,0
27,22.700000000001026,496,0
28,43.400000000000546,352,0
29,36.80000000000035,244,0
30,25.15000000000056,327,0
31,30.45000000000057,311,0
32,33.7000000000004,306,0
33,37.10000000000039,238,0
34,29.200000000000458,276,0
35,36.800000000000594,274,0
36,22.80000000000068,374,0
37,47.90000000000029,232,0
38,42.000000000000554,350,0
39,25.35000000000069,323,0
40,39.40000000000039,312,0
41,27.65000000000039,277,0
42,29.350000000000307,243,0
43,30.600000000000733,428,0
44,27.05000000000061,499,0
45,40.40000000000042,202,0
46,36.05000000000061,319,0
47,39.15000000000042,317,0
48,29.05000000000055,279,0
49,28.90000000000049,432,0
50,27.600000000000293,428,0
51,33.00000000000031,320,0
52,39.050000000000566,349,0
53,27.2000000000007,556,0
54,39.900000000000375,392,0
55,28.250000000000767,355,0
56,32.45000000000054,511,0
57,44.200000000000344,276,0
58,27.90000000000036,272,0
59,40.10000000000039,328,0
60,28.950000000000287,251,0
61,25.50000000000024,320,0
62,29.350000000000648,393,0
63,29.05000000000061,549,0
64,47.75000000000048,235,0
65,26.900000000000745,442,0
66,29.90000000000036,232,0
67,42.00000000000041,320,0
68,32.80000000000037,234,0
69,41.850000000000776,353,0
70,24.050000000000438,349,0
71,30.60000000000042,278,0
72,45.100000000000335,288,0
73,27.30000000000041,284,0
74,34.20000000000037,236,0
75,30.650000000000205,217,0
76,33.85000000000038,273,0
77,34.900000000000276,282,0
78,22.70000000000033,376,0
79,38.30000000000058,424,0
80,33.65000000000046,277,0
81,34.65000000000053,347,0
82,35.75000000000058,325,0
83,30.900000000000404,362,0
84,26.900000000000517,322,0
85,34.90000000000053,312,0
86,33.20000000000043,286,0
87,30.550000000000537,369,0
88,34.250000000000426,355,0
89,27.950000000000486,271,0
90,23.950000000000628,351,0
91,22.800000000000253,434,0
92,42.100000000000406,198,0
93,39.50000000000033,280,0
94,46.800000000000466,314,0
95,30.450000000000443,281,0
96,26.500000000000313,300,0
97,44.00000000000041,310,0
98,42.40000000000069,312,0
99,36.500000000000426,280,0
100,25.800000000000367,314,0
101,32.40000000000042,392,0
102,35.6500000000005,237,0
103,33.85000000000048,273,0
104,35.2000000000005,276,0
105,23.950000000000244,351,0
106,21.500000000000384,490,0
107,29.95000000000084,381,0
108,41.200000000000415,276,0
109,21.05000000000112,709,0
110,27.900000000000446,272,0
111,29.50000000000054,390,0
112,34.750000000000384,285,0
113,24.50000000000074,430,0
114,24.75000000000044,485,0
115,34.00000000000037,270,0
116,28.350000000000648,353,0
117,35.65000000000039,237,0
118,29.15000000000032,367,0
119,37.600000000000406,258,0
120,30.90000000000063,392,0
121,35.05000000000054,399,0
122,44.300000000000495,274,0
123,25.10000000000052,358,0
124,36.70000000000017,276,0
125,42.40000000000073,372,0
126,29.35000000000042,363,0
127,43.300000000000665,384,0
128,37.10000000000035,238,0
129,36.750000000000426,275,0
130,31.00000000000047,390,0
131,30.800000000000452,274,0
132,26.850000000000378,353,0
133,40.4500000000006,351,0
134,32.250000000000455,275,0
135,29.750000000000426,325,0
136,31.00000000000064,360,0
137,28.650000000000446,317,0
138,25.700000000000628,316,0
139,24.050000000000395,349,0
140,28.35000000000059,383,0
141,30.450000000000358,221,0
142,27.000000000000355,350,0
143,27.000000000000412,290,0
144,32.50000000000044,240,0
145,37.05000000000081,389,0
146,26.50000000000044,300,0
147,37.650000000000276,197,0
148,35.70000000000046,386,0
149,25.45000000000077,441,0
150,38.850000000000264,353,0
151,32.700000000000685,356,0
152,28.350000000000207,263,0
153,27.25000000000054,285,0
154,26.35000000000008,363,0
155,24.10000000000052,348,0
156,26.350000000000477,303,0
157,28.250000000000412,355,0
158,38.90000000000036,232,0
159,26.60000000000032,388,0
160,21.10000000000062,438,0
161,28.650000000000176,257,0
162,31.750000000000625,345,0
163,28.500000000000725,410,0
164,35.25000000000033,275,0
165,27.200000000000415,436,0
166,30.500000000000526,370,0
167,35.4500000000008,391,0
168,27.900000000000432,272,0
169,40.75000000000057,315,0
170,25.700000000000344,316,0
171,30.300000000000153,284,0
172,32.50000000000067,330,0
173,29.100000000000293,248,0
174,38.50000000000034,390,0
175,40.15000000000053,327,0
176,28.40000000000056,352,0
177,37.550000000000736,379,0
178,31.550000000000423,439,0
179,26.05000000000041,369,0
180,42.100000000000534,348,0
181,28.350000000000364,323,0
182,44.050000000000324,249,0
183,33.25000000000021,195,0
184,30.850000000000804,363,0
185,33.550000000000566,309,0
186,32.150000000000475,277,0
187,26.950000000000443,321,0
188,34.20000000000033,266,0
189,23.75000000000017,355,0
190,31.900000000000503,312,0
191,30.600000000000378,218,0
192,41.85000000000029,233,0
193,42.800000000000296,274,0
194,38.35000000000035,273,0
195,26.300000000000267,304,0
196,29.55000000000028,239,0
197,43.4000000000006,382,0
198,36.85000000000049,303,0
199,34.85000000000062,463,0
200,26.850000000000392,293,0
201,30.400000000000517,312,0
202,32.80000000000078,384,0
203,39.550000000000594,429,0
204,27.10000000000042,288,0
205,46.75000000000057,315,0
206,33.30000000000037,344,0
207,24.050000000000736,349,0
208,39.90000000000032,242,0
209,33.85000000000042,273,0
210,29.000000000000227,400,0
211,31.150000000000645,477,0
212,33.40000000000025,312,0
213,47.30000000000044,244,0
214,41.15000000000032,277,0
215,36.90000000000056,272,0
216,31.200000000000543,356,0
217,36.500000000000384,280,0
218,36.10000000000065,318,0
219,20.500000000000554,540,0
